objectid,title,filename,format,date,datecreated,countryoforgin,description,subject,location,latitude,longitude,source ,rights,creativecommonsmark,rightsnotes,citation,archivedpage
aor15,"""Morning Oregon Newspaper""",asiaor_1904_morningoregon_0001.jpeg,image/jpeg,1904,1904,United States/ China,"
""Morning Oregon Newspaper""",refugees; immigration; Chinese-American,"Portland, Multnomah, Oregon",45.523064,-122.676483,University of Oregon Liraries,No copyright US,Public Domain Mark 1.0, <a href=http://rightsstatements.org/vocab/NoC-US/1.0/,"""Morning Oregon Newspaper""  H.L. Pittock 1861-1937, University of Oregon Liraries. https://oregonnews.uoregon.edu/lccn/sn83025138/1904-04-21/ed-1/seq-5/#words=ac+Chinese+exclusion",https://oregonnews.uoregon.edu/lccn/sn83025138/1904-04-21/ed-1/seq-5/#words=ac+Chinese+exclusion
aor28,gold 'sin' made by Mrs. Thongkam,asiaor_1979_goldsin_001.jpeg,image/jpeg,1979,1979,Laos,22 x 28 inch reddish with gold 'sin' made by Mrs. Thongkam Rangsmith in Laos,refugees; immigration; Laotian ,"Portland, Oregon",45.523064,-122.676483,Northwest Folklife Digital Collection,In copyright - Educational Use Permitted,Public Domain Mark 1.0,<a href=http://rightsstatements.org/vocab/InC/1.0/,"Northwest Folklife Digital Collection, University of Oregon. ""22 x 28 inch reddish with gold 'sin' made by Mrs. Thongkam Rangsmith in Laos"" Oregon Digital. 26 Apr 2023. https://www.oregondigital.org/concern/images/df664806r",<a href=https://www.oregondigital.org/concern/images/df664806r returned a Service Unavailable error. (HTTP status=503).
aor27,"That Luang' national monument, building in capitol Vientiane. Two oil paintings done this year by Mr. R. picturing two views of the same building.""",asiaor_1979_oilpainting_001.jpeg,image/jpeg,1979,1979,Laos,"That Luang' national monument / building in capitol Vientiane. Two oil paintings done this year by Mr. R. picturing two views of the same building.""",refugees; immigration; Laotian ,"Portland, Oregon",45.523064,-122.676483,Northwest Folklife Digital Collection,In copyright - Educational Use Permitted,Public Domain Mark 1.0,<a href=http://rightsstatements.org/vocab/InC/1.0/,"Northwest Folklife Digital Collection, University of Oregon. ""That Luang' national monument / building in capitol Vientiane. Two oil paintings done this year by Mr. R. picturing two views of the same building."" Oregon Digital. 26 Apr 2023. https://www.oregondigital.org/concern/images/df6648003",<a href=/web/20230524201753/https://www.oregondigital.org/concern/images/df6648003
aor12,"“The Filipinos and the War, the Oregonian """,asiaor_1899_filipinoswaroregonian_001.jpeg,image/jpeg,1899,1899,Philippines,"“The Filipinos and the War, the Oregonian """,refugees; immigration; Philippine,"Portland, Oregon", 45.523064,-122.676483,Oregon Historical Society Library ,No copyright US,Public Domain Mark 1.0,<a href=https://creativecommons.org/publicdomain/mark/1.0/,"Titled “The Filipinos and the War, the Oregonian on March 2, 1899. https://www.oregonhistoryproject.org/media/uploads/News-Editorial-Filipinos-the-War-1899-FS2.jpg",<a href=/web/20230524201946/https://www.oregonhistoryproject.org/media/uploads/News-Editorial-Filipinos-the-War-1899-FS2.jpg
aor22,"""Filipinos Want Equal Rights or Independence"" Oregonian""",asiaor_1931_filipinosrights_001.jpeg,image/jpeg,1931,1931,Philippines,"""Filipinos Want Equal Rights or Independence"" Oregonian""",refugees; immigration; Philippine; Low Wage Workers,"Portland, Oregon", 45.523064,-122.676483,"Oregon Historical Society , Oregon History Project",In Copyright- Eduacational use permited,Public Domain Mark 1.0,<a href=http://rightsstatements.org/vocab/InC/1.0/,"""Filipinos Want Equal Rights or Independence"" Oregonian, 1931, Oregon Historical Society, https://www.oregonhistoryproject.org/articles/historical-records/filipinos-want-equal-rights-or-independence/#.ZErjLexlBgh",<a href=/web/20230524202116/https://www.oregonhistoryproject.org/articles/historical-records/filipinos-want-equal-rights-or-independence/
aor26,"""Ernesto Mangaoang's warrant for arrest""",asiaor_1949_ernestowarrant_001.jpeg,image/jpeg,1949,1949,Philippines,"""Ernesto Mangaoang's warrant for arrest""",Low Wage Workers; Ernesto Mangaoang; refugees; immigration; Philippine,Washinton ,47.7511,120.7401,"University of Washington Libraries,Special Collections, PNW04503",In Copyright- Eduacational use permited,Public Domain Mark 1.0,http://rightsstatements.org/vocab/InC/1.0/,"Ernesto Mangaoang's warrant for arrest, August, 1, 1949, University of Washington Libraries, Special Collections, PNW04503,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/pioneerlife/id/26140",<a href= https://cdm16786.contentdm.oclc.org/digital/api/notfound (HTTP status=500).
"aor22
",Chinese Dragon Dance – Portland Oregon,asiaor_1922_dragondance_001.jpg,image/jpeg,1922,1912-1932,China ,A photograph of people performing a Chinese Dragon Dance in a crowded stadium in Portland Oregon.,"Chinese-American; Lunar New Year; Cultural Ceremonies, ","Portland, OR",45.523064,-122.676483,"<a href=""https://digitalcollections.ohs.org/chinese-dragon-dance-portland-oregon"" target=""_blank"">Spokane, Portland, and Seattle Railway photographs- The Oregon Historical Society Digital Collections</a>","<a href=""https://rightsstatements.org/vocab/UND/1.0/"" target=""_blank"">Copyright Undetermined</a>",,,"A.M. Prentiss. “Chinese Dragon Dance – Portland Oregon”, 1912-1932. Oregon Historical Society, <a href='https://digitalcollections.ohs.org/chinese-dragon-dance-portland-oregon' target='blank'>https://digitalcollections.ohs.org/chinese-dragon-dance-portland-oregon</a>","<a href=""https://web.archive.org/web/20230524220005/https://digitalcollections.ohs.org/chinese-dragon-dance-portland-oregon"" target=""_blank"">Archived Page</a>"
aor09,"Chinatown, Chinese Joss in the temple",asiaor_1894_chinesejoss_001.jpg,image/jpeg,1894,1894,China ,"An image depicting a Chinese Joss located in a temple in Baker City Oregon. The image was originally published in a promotional publication titled, ""Baker City, Oregon. 1894. A Souvenir."".",Heritage Sites; Chinese-American,"Baker City, OR",44.775,-117.834444,"<a href=""https://bakerlib.pastperfectonline.com/photo/44C17721-945C-4656-9D35-339417184603""target=""_blank"">Baker Country Library Digital Archive</a>","<a href=""https://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Chinatown, Chinese Joss in the temple"", 1894. Baker County Library Digital Archive, <a href=' https://bakerlib.pastperfectonline.com/photo/44C17721-945C-4656-9D35-339417184603' target='blank'> https://bakerlib.pastperfectonline.com/photo/44C17721-945C-4656-9D35-339417184603</a>","<a href=""https://web.archive.org/web/20230524220429/https://bakerlib.pastperfectonline.com/photo/44C17721-945C-4656-9D35-339417184603"" target=""_blank"">Archived Page</a>"
aor17,"Horse drawn Japanese float in Portland Rose Festival parade, Portland, Oregon, 1908",asiaor_1908_japanesefloat_001.jpg,image/jpeg,1908,1908,Japan,"A photograph on a postcard depicting a Japanese style float, drawn by horses, in Portland's anual Rose festival parade. "," Japanese(culture or style); Cultrual Ceremonies,","Portland, OR",45.523064,-122.676483,"<a href=""https://cdm16786.contentdm.oclc.org/digital/collection/alaskawcanada/id/2101""target=""_blank"">Alaska, Western Canada and United States-University of Washington Libraries<a/>","<a href=""https://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",,"""Horse drawn Japanese float in Portland Rose Festival parade, Portland, Oregon, 1908"" 1908. University of Washington Libraries, Special Collections, <a href='https://cdm16786.contentdm.oclc.org/digital/collection/alaskawcanada/id/2101' target='blank'>https://cdm16786.contentdm.oclc.org/digital/collection/alaskawcanada/id/2101</a>","<a href=""https:/web.archive.org/web/20230524220625/https://cdm16786.contentdm.oclc.org/digital/collection/alaskawcanada/id/2101"" target=""_blank"">Archived Page</a>"
aor16,"Chinese Rookeries (Portland, Oregon)",asiaor_1907_rookeries_001.jpeg,image/jpeg,1907,1907,China,"A photograph of a Chinese rookery (also known as a tenement house) in Portland, Oregon. The building was torn down shortly after the picture was taken.",Chinese; Chinese-American; Old Town Chinatown,"Portland, OR",45.5186338,-122.6742018,"<a href=""https://oregondigital.org/concern/images/fx71c1831?locale=en"" target=""_blank"">Building Oregon - University of Oregon</a>","<a href=""http://rightsstatements.org/vocab/InC-EDU/1.0/"" target=""_blank"">In Copyright - Educational Use Permitted</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be available for use for educational purposes.,"Building Oregon, University of Oregon. ""Chinese Rookeries (Portland, Oregon)"" Oregon Digital. 23 Apr 2023. <a href=""https://oregondigital.org/concern/images/fx71c1831"" target=""_blank"">https://oregondigital.org/concern/images/fx71c1831</a>","<a href=""https://web.archive.org/web/20230523003059/https://oregondigital.org/concern/images/fx71c1831?locale=en"" target=""_blank"">Archived Page</a>"
aor23,"Portland Chinatown gambling raid, August 9, 1924",asiaor_1924_gamblingraid_001.jpeg,image/jpeg,1924,1924,China,Picture of a raid of a gambling establishment in Portland's Chinatown; image includes the Chief of Police and a Lieutenant who are in the process of arresting unidentified Chinese men present in the establishment.,Chinese; Old Town Chinatown,"Portland, OR",45.5252958,-122.6796192,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1168/rec/1"" target=""_blank"">Oregon Historical Society Ethnic History Collection - Washington State Unviersity Libraries Digital Collection</a>","<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"Portland Chinatown gambling raid, August 9, 1924, Unknown. 1924, Oregon Historical Society. <a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1168/rec/1"" target=""_blank""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1168/rec/1)</a>","<a href=""https://web.archive.org/web/20230523003524/https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1168/rec/1"" target=""_blank"">Archived Page</a>"
aor20,"Officers and members of the Japanese Ancestral Society of Portland, ca. 1920",asiaor_1920_jancestralsoc_001.jpg,image/jpg,1920,1920,Japan,Board members and officers of the Nikkei Jin Kai (Japanese Ancestral Society of Portland) posing for a picture circa 1920.,Japanese; Cultural Groups,"Portland, OR",45.5130809,-122.6376549,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1191/rec/36"" target=""_blank"">Oregon Historical Society Ethnic History Collection - Washington State Unviersity Libraries Digital Collection</a>","<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"Officers and members of the Japanese Ancestral Society of Portland, ca. 1920, Unknown. 1920, Oregon Historical Society. <a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1191/rec/36"" target=""_blank""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1191/rec/36</a>","<a href=""https://web.archive.org/web/20230523004550/https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1191/rec/36"" target=""_blank"">Archived Page</a>"
aor18,"Chinese National Party of Portland, 1914",asiaor_1914_cnationalparty_001.jpeg,image/jpeg,1914,1914,China,Members of the Chinese National Party of Portland standing outside the group's headquarters.,Chinese; Cultural Groups,"Portland, OR",45.51661974,-122.66746184313872,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1186/rec/35"" target=""_blank"">Oregon Historical Society Ethnic History Collection - Washington State Unviersity Libraries Digital Collection</a>","<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"Chinese National Party of Portland, 1914, Unknown. 1914, Oregon Historical Society. https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1186/rec/35","<a href=""https://web.archive.org/web/20230523004805/https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1186/rec/35"" target=""_blank"">Archived Page</a>"
